wallet_address,total_reward,solved_predictions
0xD5210fD1bEbAc7746Dfc1Dd9fac970765f64d51e,2.6800,1
0x4EB6EE55b6070C7c3007d50D94B7462dEa9198f6,0.0200,1
0x05B22a09d914F53d280C14bFE9896D5cBf60562f,0.2600,1
0xB3Fe5e078fBa2CD1923457245AbC9B6Cb46E567F,103.6500,1
0x4d48df14a698984C60e705a11dD696F368cb3A21,2.5900,6
0xDECE45aD0f44fa404FDe3860054350cB587DB9a7,13.5800,5
0x9fA9b283cd8147700AFC10B1cB72f090226213E5,0.2500,2
0x09342590Fcd020519472c857E5E129F5308Bfef2,0.3300,1
0x31a235d7464F1aDdB022941ec29e06ce177540D2,0.3600,1
0xCE6915ea810B862A44D10Ccc8086921078A2266c,0.3300,2
0x7d20c68CE127e8eA34BC881fa265A04cD40BEb86,0.1700,1
0x6f8958CaC078246863A9E7fEb4500c5B63272E98,1.2000,3
0x01Ed93265f55AFA13f2eDf88eF276F9Ab585d491,0.5100,2
0x47AdD99a2817612b992Ac096C37E16412c1b20fF,0.2800,1
0xd0BbbAD71c5c9C919Aecc81e902df3d94FC71E7A,0.5100,2
0x034eD157eec4039965C8552825c080c5fa0755f5,0.4500,3
0x615f7B00e8ebBefd81af3C82168B50F6858554cC,0.2500,1
0x9FE670cCD3a7A9f8152C1B090F8097F6fA1E5E03,0.0800,2
0x932CF1422d6838BC66583d09474d8122cf70331c,4.7000,3
0x39F8A49619A6FE616579c2c5d48C97D982604dC7,1.7400,4
0xa2425Af8985AfBBBd7a1fFa707A87D42d1597661,0.0400,2
0x8077BaB739A889c7415B292029c1b249E15ae992,1.0500,2
0x71EB7615EcF8080026bd6FFCfb7c515aC6128a49,0.1600,2
0xC0Ae4C35922C7A8EeBE95E6dB3805aBf189F0ab7,1.2500,3
0xb39f58372396B93236cda0Be1fD9299f5FBc39DD,0.0400,2
0x6efA3b28c0B9488a4B82E1684b1D13729EbDf8dA,0.6700,2
0xA891E25f07905A997cb52339afB5A6cB211d0F20,0.1000,1
0x0dF3359E75E3417C9bB47c5ac5210EE4FF018e74,0.2400,5
0xBFCbDA87F09aD3CcE1969DC404d5607730d06EFf,9.8100,1
0x5Ead838728b05C62FffE65C894292688155cf7A3,0.0800,1
0x048093338957eAD2aBeee66b1fe838766658471F,4.3500,5
0xF39F35f3eD43b2c2525c28ea17b7b6AaCAf1272a,0.3300,1
0xA871bE53D3ED67c0E00bF560c1Eb9d3485d1299e,9.8400,5
0xDC5c7890A2Ed5D4f5e3F90FB9Eda5358918d3082,0.3300,2
0x28d424Ca841F4f1D08d76D491f3a221783C85581,0.6600,2
0x1D59C8e80c8F023D3F005F498e14A3229863b177,0.0200,1
0x1950B7409a2CbbC145cfc0bcBC875EF32b6760f8,0.1600,2
0x7E538b3677bDc73EE9D746209F4F61C878E2E8CB,0.0400,2
0x5218d03D76F4Fb7dF9c0305b32f04697de8e1194,0.0800,1
0x7B776789E0C1549f977FEe2357351b179d14889f,0.2600,1
0x82588bED33DBcd8EEc164F6E85cf24C898237bb7,62.8000,1
0x56a781703787B2D92C74b1ee3A31DAfeb800AcB5,0.0600,1
0x9d50771e907b0553c432F02B9e98Fd1B7e87E004,1.8100,4
0xf2999AF3c8b2BA1F9Bc8Ac5E9a905b296F14DFe3,0.2700,2
0x95D11Fe83567C6284a8663e8cA0fFFc65Ad0A662,0.9000,2
0xfef84Af8d642F5a65382640feafD744CB6DfFC0f,0.2700,2
0x52c0f086100e0046c4A679C11c52d17bB58b2Ec2,1.3200,2
0x21c516BF34ba2E304cAcE037482F085bE93ff880,0.2500,1
0x24bbF22E96D4954aa3B8Dc7D560E185f9D97505f,0.4600,1
0xb7d5804cF1fa1762B1E702B6Fdf33b37E914F6e9,0.6800,2
0xa5b462Ce45417cB3fd48A07583Ac84B34D42DC8e,0.0400,2
0x3dC4a6350eb24787F73Ce3bC6a0C22597626A201,0.5100,2
